covariate,beta,se,z,p_value,hazard_ratio,ci95_low,ci95_high,n_rows,n_events,converged,project,model
stage_III,0.758302146635652,0.4041388729629245,1.8763405288785924,0.060608535182236446,2.1346488212893107,0.9667551277745583,4.713422726519476,194,73,True,TCGA-LUAD,cox_am_vs_dc_adjusted
stage_IV,0.9075246358320721,0.5249392943347935,1.728818256941678,0.08384162756578155,2.478180535381209,0.8857182501272858,6.93378370047103,194,73,True,TCGA-LUAD,cox_am_vs_dc_adjusted
stage_missing,1.7973203492424872,0.29787846965361814,6.033737018094877,1.6021071669381798e-09,6.03345822244677,3.365170224932562,10.817467078575511,194,73,True,TCGA-LUAD,cox_am_vs_dc_adjusted
immune_lymphoid,-0.03471294983473048,0.1519832070404269,-0.22839990358603882,0.8193353643987173,0.9658826332375748,0.7170569340310393,1.301053259390931,194,73,True,TCGA-LUAD,cox_am_vs_dc_adjusted
pdl1_log,0.03947441349379194,0.14167771658850623,0.27862118648088335,0.7805355518622542,1.0402638818261702,0.7880341038843777,1.3732260298100347,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
circ_cv_ortho,-1.9990526027029472,2.78790040254068,-0.7170459177383679,0.47334576445325693,0.1354635602732111,0.0005737381836869789,31.983885130269694,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
pdl1_x_clock,0.0038867330908872993,0.9022065993903345,0.0043080299939213,0.9965627000125897,1.0038942962334114,0.17128298594796174,5.883852108440951,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
age_at_index,0.004218114517290589,0.00840527864669615,0.5018411280093131,0.6157792800395234,1.004227023283993,0.9878185700691362,1.0209080339755583,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
sex_male,0.2073483388140896,0.16609946573158593,1.2483383850804264,0.21190716274074073,1.2304110970828224,0.8885124545184131,1.7038719717723225,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
stage_II,0.5512681948921005,0.2582038503785742,2.135011519324132,0.032760069195008325,1.7354525148920275,1.0462252097436922,2.878725730746732,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
stage_III,0.8994834219261932,0.2700543329251975,3.3307498242412636,0.0008661240530371053,2.458332862239076,1.4479907841309274,4.173645666668914,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
stage_IV,1.0703202438185724,0.3637628584442069,2.942357140023232,0.0032572403591759683,2.9163132817515973,1.4295290312779532,5.94943017681682,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
stage_missing,1.6856194233584882,0.20582733725956534,8.189482727616411,2.6235127359892735e-16,5.395792177132207,3.6045532657742467,8.077165482682194,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
immune_lymphoid,-0.11878810281913087,0.1040745714220484,-1.1413748929833727,0.2537139481320737,0.8879959446649625,0.7241373006413369,1.0889327162722406,380,162,True,TCGA-LUAD,cox_pdl1_clock_interaction
circ_cv_ortho,-2.686673256440079,1.948764794908721,-1.3786544499670732,0.1680013198269652,0.06810713789327946,0.0014940686326650522,3.104664759436177,186,75,True,TCGA-LUAD,cox_high_pdl1_clock_effect
age_at_index,0.003546921168246689,0.01276040200592293,0.27796312111486243,0.781040668635212,1.0035532189368284,0.9787652342779043,1.028968978430751,186,75,True,TCGA-LUAD,cox_high_pdl1_clock_effect
sex_male,0.3695576857320047,0.24729398104311037,1.4944063101462235,0.13506945327773734,1.4470944025848944,0.8912426829933267,2.3496206476100876,186,75,True,TCGA-LUAD,cox_high_pdl1_clock_effect
stage_II,0.7139161564936954,0.37873916873221464,1.88498105142768,0.059432396115650016,2.0419723040338185,0.971987228295754,4.289820657162432,186,75,True,TCGA-LUAD,cox_high_pdl1_clock_effect
stage_III,0.5190743218580044,0.3902387155424947,1.330145629288492,0.1834702940920886,1.6804713538949618,0.7820836611391287,3.6108463986427575,186,75,True,TCGA-LUAD,cox_high_pdl1_clock_effect
stage_IV,1.2449966149745277,0.52327173329244,2.379254478626191,0.017347695203611607,3.4729230433839637,1.2453094057570062,9.68529941997467,186,75,True,TCGA-LUAD,cox_high_pdl1_clock_effect
stage_missing,1.7719157830672054,0.3071535049495087,5.768828141350628,7.982465704907387e-09,5.882111423401375,3.2216540679578185,10.739587201937276,186,75,True,TCGA-LUAD,cox_high_pdl1_clock_effect
immune_lymphoid,-0.20329421209911583,0.1742904096473354,-1.1664107767631486,0.24344840342875296,0.8160381178161052,0.5798977900585741,1.1483372089788249,186,75,True,TCGA-LUAD,cox_high_pdl1_clock_effect
